Period,PeriodLabel,Start,End,전략,CAGR,MDD,MDD_source,Sharpe,연환산_표준편차,최대회복기간_개월,최대회복기간_일,최종배수,최종자산
book_validation,책 검증 1970-01~2021-12,1970-01-31,2021-12-31,60/40 비용전,0.10104684338974801,-0.2976208348388395,daily,1.0737486587337042,0.09411738538083848,39.2,1193,149.24555341387318,1492455.534138732
book_validation,책 검증 1970-01~2021-12,1970-01-31,2021-12-31,60/40 비용후(5bp),0.10100923788474403,-0.2977374489722061,daily,1.0733751498631139,0.09411815898275011,39.2,1193,148.98072036419546,1489807.2036419546
book_validation,책 검증 1970-01~2021-12,1970-01-31,2021-12-31,S&P500 100%,0.10952106199776024,-0.5518943082325594,daily,0.7630824977643991,0.15201331226635734,79.1,2407,222.35589297973428,2223558.929797343
from_2001,2001~2026-08,2001-01-01,2026-08-31,60/40 비용전,0.07591972962190985,-0.2976208348388395,daily,0.8776813005701914,0.0880463893640097,33.8,1028,6.54159069435626,65415.9069435626
from_2001,2001~2026-08,2001-01-01,2026-08-31,60/40 비용후(5bp),0.07587609671562667,-0.2977374489722062,daily,0.8771675060712029,0.08805204592670686,33.8,1028,6.534785039776129,65347.85039776129
from_2001,2001~2026-08,2001-01-01,2026-08-31,S&P500 100%,0.09046713960176622,-0.5518943082325594,daily,0.6526427985349113,0.15068828287806682,59.1,1798,9.233994887533825,92339.94887533825
from_2021,2021~2026-08,2021-01-01,2026-08-31,60/40 비용전,0.08404884813637947,-0.2143065431411666,daily,0.7953081314352087,0.10922847509537176,26.1,794,1.5798292962679548,15798.292962679549
from_2021,2021~2026-08,2021-01-01,2026-08-31,60/40 비용후(5bp),0.08400820255747732,-0.21435869563674903,daily,0.7949403401826652,0.10923201873638692,26.1,794,1.5794936635452166,15794.936635452166
from_2021,2021~2026-08,2021-01-01,2026-08-31,S&P500 100%,0.15015678982741765,-0.24496388734674468,daily,1.0039531332424647,0.1514034550806814,23.3,709,2.209479295823739,22094.792958237387
longest,최장 1962-01~2026-08,1962-01-31,2026-08-31,60/40 비용전,0.09205121660682125,-0.2976208348388395,daily,0.9904797746395512,0.09365163926263256,39.2,1193,297.3415687188708,2973415.687188708
longest,최장 1962-01~2026-08,1962-01-31,2026-08-31,60/40 비용후(5bp),0.09201369505995238,-0.2977374489722061,daily,0.9901063094575865,0.09365207444337825,39.2,1193,296.68158175464276,2966815.8175464277
longest,최장 1962-01~2026-08,1962-01-31,2026-08-31,S&P500 100%,0.10484252277146289,-0.5518943082325594,daily,0.746059702692849,0.14919156838054,79.1,2407,631.4320502265128,6314320.502265128
