Period,Cost_bps,CAGR,MDD,Sharpe,Annualized_Std,Max_Recovery_Months,Final_Asset_USD,MDD_Source,Avg_Annual_Gross_Turnover
book_validation,0.0,0.10104684338974801,-0.2976208348388395,1.0737486587337042,0.09411738538083848,39.2,1492455.534138732,daily,0.06943851020523616
from_2000,0.0,0.07343463393030114,-0.2976208348388396,0.8449358226457754,0.08877768585908373,39.2,66173.29501153142,daily,0.06943851020523616
from_2021,0.0,0.08404884813637947,-0.2143065431411666,0.7953081314352087,0.10922847509537176,26.1,15798.292962679549,daily,0.06943851020523616
longest,0.0,0.09205121660682125,-0.2976208348388395,0.9904797746395512,0.09365163926263256,39.2,2973415.687188708,daily,0.06943851020523616
book_validation,5.0,0.10100923788474403,-0.2977374489722061,1.0733751498631139,0.09411815898275011,39.2,1489807.2036419546,daily,0.06943851020523617
from_2000,5.0,0.0733903440888497,-0.2977374489722061,0.8444152292560612,0.08878396066854688,39.2,66100.5253974407,daily,0.06943851020523617
from_2021,5.0,0.08400820255747732,-0.21435869563674903,0.7949403401826652,0.10923201873638692,26.1,15794.936635452166,daily,0.06943851020523617
longest,5.0,0.09201369505995238,-0.2977374489722061,0.9901063094575865,0.09365207444337825,39.2,2966815.8175464277,daily,0.06943851020523617
book_validation,15.0,0.10093402431155352,-0.2979706696230672,1.0726274874407786,0.09411976437162298,39.2,1484524.1826285755,daily,0.06943851020523617
from_2000,15.0,0.07330176083784234,-0.29797066962306706,0.843373456883028,0.08879659518274012,39.2,65955.21132119719,daily,0.06943851020523617
from_2021,15.0,0.08392691012672815,-0.21446300062791435,0.7942044979000629,0.10923915159582716,26.1,15788.22563756131,daily,0.06943851020523617
longest,15.0,0.09193864972258026,-0.2979706696230672,0.9893587964911037,0.09365300093980651,39.2,2953658.9244010253,daily,0.06943851020523617
