Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,available_date,equity,revenue_q,net_income_q,ocf_q,EY_1_PER,BY_1_PBR,CFY_1_PCR,SY_1_PSR,EY_1_PER_rank,BY_1_PBR_rank,CFY_1_PCR_rank,SY_1_PSR_rank,avg_rank,overall_rank,signal_date,target_weight,top_n
012860,서연전자,KOSDAQ,84375000000.0,467143185.0,148252.0,3125.0,CFS,2016-08-16,179354185737.0,188104559437.0,2875935069.0,15789448554.0,0.13634062549333334,2.1256792383644445,0.7485368203377778,8.917549484420741,259.0,127.0,59.0,37.0,120.5,18,2016-10-31,0.05,20
092230,KPX홀딩스,KOSPI,269109950200.0,60648700.0,952.0,63700.0,CFS,2016-08-16,917374787743.0,241018038164.0,11787592884.0,40144749633.0,0.17520857738986717,3.408921844254423,0.5967040550253129,3.582447070201271,157.0,29.0,94.0,203.0,120.75,19,2016-10-31,0.05,20
012800,대창,KOSPI,84760664070.0,589512791.0,628500.0,930.0,CFS,2016-08-12,181411287708.0,225272409636.0,3518998341.0,9392209431.0,0.16606752104225225,2.140276857177294,0.4432343485767596,10.630988424062261,175.0,123.0,163.0,24.0,121.25,20,2016-10-31,0.05,20
004140,동방,KOSPI,45200337000.0,570045120.0,267511.0,2100.0,CFS,2016-08-16,135578281991.0,142598636481.0,17770927541.0,9745266406.0,1.572636729765975,2.9994971495677123,0.8624065263938187,12.619254275117463,2.0,42.0,44.0,13.0,25.25,1,2016-10-31,0.03333333333333333,30
010100,한국프랜지,KOSPI,88306218000.0,163964650.0,11271.0,14500.0,CFS,2016-08-16,286079270050.0,308561565105.0,6578008277.0,23410228220.0,0.2979635376072838,3.239627701528334,1.0604113164488598,13.976889604987953,58.0,33.0,29.0,11.0,32.75,2,2016-10-31,0.03333333333333333,30
010770,평화홀딩스,KOSPI,57331826720.0,47899440.0,12239.0,3920.0,CFS,2016-08-16,150741141923.0,156365217982.0,4282154653.0,18903428162.0,0.2987628267219461,2.629275056230059,1.318878482928618,10.909487935604366,57.0,60.0,18.0,20.0,38.75,3,2016-10-31,0.03333333333333333,30
000880,한화,KOSPI,2799708752250.0,8264490250.0,222244.0,37350.0,CFS,2016-08-16,15153896000000.0,10864899000000.0,128298000000.0,1441132000000.0,0.18330192366887116,5.412668724138357,2.0589741684263796,15.522898931924072,141.0,7.0,4.0,8.0,40.0,4,2016-10-31,0.03333333333333333,30
007860,서연,KOSPI,249583544400.0,1301812750.0,118180.0,11100.0,CFS,2016-08-16,1027343294528.0,814105427994.0,23816213414.0,36846037776.0,0.38169525112329483,4.116230086393468,0.590520306370006,13.047421534959177,38.0,17.0,96.0,12.0,40.75,5,2016-10-31,0.03333333333333333,30
013580,계룡건설,KOSPI,130391242200.0,97271350.0,6690.0,14600.0,CFS,2016-08-16,322317473013.0,478857641391.0,8288745545.0,49161900918.0,0.2542730755578307,2.471925779483064,1.5081350584142221,14.689871292322115,78.0,72.0,11.0,9.0,42.5,6,2016-10-31,0.03333333333333333,30
097230,한진중공업,KOSPI,413604781200.0,846517920.0,217637.0,3900.0,CFS,2016-08-16,1230559000000.0,853477000000.0,107867000000.0,70742000000.0,1.0431891013159302,2.9752049684477875,0.6841506985944872,8.254034177494658,7.0,43.0,76.0,44.0,42.5,7,2016-10-31,0.03333333333333333,30
058650,세아홀딩스,KOSPI,480000000000.0,76982500.0,642.0,120000.0,CFS,2016-08-16,2861583776740.0,1039521706752.0,33314468406.0,87182767409.0,0.27762057005,5.9616328682083335,0.7265230617416667,8.6626808896,66.0,3.0,62.0,40.0,42.75,8,2016-10-31,0.03333333333333333,30
001230,동국제강,KOSPI,780224391900.0,1469491610.0,180723.0,8180.0,CFS,2016-08-16,2457731113000.0,1424470788000.0,134455355000.0,128721153000.0,0.6893163371761538,3.1500311173493833,0.6599186302624487,7.302877494158485,11.0,36.0,81.0,52.0,45.0,9,2016-10-31,0.03333333333333333,30
036530,S&T홀딩스,KOSPI,237451575000.0,376449100.0,24704.0,15000.0,CFS,2016-08-04,1541613801942.0,378473263610.0,20908945639.0,35517224141.0,0.35222247970349324,6.492329233621634,0.5983068192493565,6.375586493540841,47.0,1.0,93.0,66.0,51.75,10,2016-10-31,0.03333333333333333,30
122690,서진오토모티브,KOSDAQ,84972117500.0,240356290.0,45238.0,5300.0,CFS,2016-08-16,207660325951.0,335378125819.0,3686360989.0,28328009627.0,0.17353273508807168,2.443864317621601,1.3335202398363204,15.787678861551262,159.0,79.0,16.0,7.0,65.25,11,2016-10-31,0.03333333333333333,30
038110,에코플라스틱,KOSDAQ,61393756590.0,420674150.0,154963.0,2705.0,CFS,2016-08-16,132570000000.0,283127000000.0,3013000000.0,22356000000.0,0.19630660623173313,2.1593400919466363,1.4565650477652259,18.446631431321574,127.0,120.0,13.0,4.0,66.0,12,2016-10-31,0.03333333333333333,30
123040,엠에스오토텍,KOSDAQ,65678792970.0,120090945.0,26836.0,4515.0,CFS,2016-08-12,109250239778.0,191921657225.0,5790890347.0,18680419666.0,0.35267946228214614,1.6634020638579954,1.1376834939419564,11.688500871973318,46.0,223.0,25.0,16.0,77.5,13,2016-10-31,0.03333333333333333,30
024910,경창산업,KOSDAQ,88151200000.0,127033225.0,25303.0,5020.0,CFS,2016-08-16,147470368574.0,165517516262.0,9339408566.0,25796366690.0,0.42379042218370255,1.6729252531332528,1.1705509029939467,7.510618857689969,27.0,218.0,24.0,50.0,79.75,14,2016-10-31,0.03333333333333333,30
004980,성신양회,KOSPI,182704548020.0,1134808640.0,148090.0,7610.0,CFS,2016-08-16,337387045635.0,197324488368.0,38648738125.0,29081186588.0,0.8461472589236095,1.846626421133575,0.6366822698867154,4.3200783014202715,10.0,175.0,83.0,147.0,103.75,15,2016-10-31,0.03333333333333333,30
